	time		p1		p2
   1.8100000e+00   3.7873486e-01  -1.3467575e-02
   1.8200000e+00   3.7873695e-01  -1.3468045e-02
   1.8300000e+00   3.7873884e-01  -1.3468469e-02
   1.8400000e+00   3.7874052e-01  -1.3468852e-02
   1.8500000e+00   3.7874204e-01  -1.3469197e-02
   1.8600000e+00   3.7874339e-01  -1.3469509e-02
   1.8700000e+00   3.7874459e-01  -1.3469790e-02
   1.8800000e+00   3.7874567e-01  -1.3470044e-02
   1.8900000e+00   3.7874663e-01  -1.3470272e-02
   1.9000000e+00   3.7874748e-01  -1.3470479e-02
   1.9100000e+00   3.7874823e-01  -1.3470665e-02
   1.9200000e+00   3.7874890e-01  -1.3470833e-02
   1.9300000e+00   3.7874948e-01  -1.3470984e-02
   1.9400000e+00   3.7875001e-01  -1.3471120e-02
   1.9500000e+00   3.7875047e-01  -1.3471243e-02
   1.9600000e+00   3.7875087e-01  -1.3471354e-02
   1.9700000e+00   3.7875121e-01  -1.3471454e-02
   1.9800000e+00   3.7875151e-01  -1.3471545e-02
   1.9900000e+00   3.7875177e-01  -1.3471626e-02
   2.0000000e+00   3.7875198e-01  -1.3471700e-02
   2.0100000e+00   3.7875217e-01  -1.3471766e-02
   2.0200000e+00   3.7875233e-01  -1.3471826e-02
   2.0300000e+00   3.7875245e-01  -1.3471880e-02
   2.0400000e+00   3.7875255e-01  -1.3471929e-02
   2.0500000e+00   3.7875263e-01  -1.3471973e-02
   2.0600000e+00   3.7875269e-01  -1.3472013e-02
   2.0700000e+00   3.7875273e-01  -1.3472049e-02
   2.0800000e+00   3.7875275e-01  -1.3472082e-02
   2.0900000e+00   3.7875276e-01  -1.3472112e-02
   2.1000000e+00   3.7875276e-01  -1.3472139e-02
   2.1100000e+00   3.7875274e-01  -1.3472163e-02
   2.1200000e+00   3.7875272e-01  -1.3472185e-02
   2.1300000e+00   3.7875268e-01  -1.3472205e-02
   2.1400000e+00   3.7875263e-01  -1.3472224e-02
   2.1500000e+00   3.7875258e-01  -1.3472240e-02
   2.1600000e+00   3.7875252e-01  -1.3472255e-02
   2.1700000e+00   3.7875245e-01  -1.3472269e-02
   2.1800000e+00   3.7875238e-01  -1.3472282e-02
   2.1900000e+00   3.7875231e-01  -1.3472293e-02
   2.2000000e+00   3.7875222e-01  -1.3472304e-02
   2.2100000e+00   3.7875213e-01  -1.3472314e-02
   2.2200000e+00   3.7875204e-01  -1.3472322e-02
   2.2300000e+00   3.7875195e-01  -1.3472331e-02
   2.2400000e+00   3.7875185e-01  -1.3472338e-02
   2.2500000e+00   3.7875175e-01  -1.3472345e-02
   2.2600000e+00   3.7875165e-01  -1.3472351e-02
   2.2700000e+00   3.7875155e-01  -1.3472357e-02
   2.2800000e+00   3.7875144e-01  -1.3472363e-02
   2.2900000e+00   3.7875133e-01  -1.3472368e-02
   2.3000000e+00   3.7875122e-01  -1.3472373e-02
   2.3100000e+00   3.7875111e-01  -1.3472377e-02
   2.3200000e+00   3.7875100e-01  -1.3472381e-02
   2.3300000e+00   3.7875088e-01  -1.3472385e-02
   2.3400000e+00   3.7875077e-01  -1.3472389e-02
   2.3500000e+00   3.7875065e-01  -1.3472393e-02
   2.3600000e+00   3.7875054e-01  -1.3472396e-02
   2.3700000e+00   3.7875042e-01  -1.3472399e-02
   2.3800000e+00   3.7875030e-01  -1.3472402e-02
   2.3900000e+00   3.7875018e-01  -1.3472405e-02
   2.4000000e+00   3.7875006e-01  -1.3472408e-02
   2.4100000e+00   3.7874994e-01  -1.3472411e-02
   2.4200000e+00   3.7874982e-01  -1.3472413e-02
   2.4300000e+00   3.7874970e-01  -1.3472416e-02
   2.4400000e+00   3.7874958e-01  -1.3472418e-02
   2.4500000e+00   3.7874946e-01  -1.3472421e-02
   2.4600000e+00   3.7874934e-01  -1.3472423e-02
   2.4700000e+00   3.7874922e-01  -1.3472425e-02
   2.4800000e+00   3.7874909e-01  -1.3472427e-02
   2.4900000e+00   3.7874897e-01  -1.3472429e-02
   2.5000000e+00   3.7874885e-01  -1.3472432e-02
   2.5100000e+00   3.7874873e-01  -1.3472434e-02
   2.5200000e+00   3.7874860e-01  -1.3472436e-02
   2.5300000e+00   3.7874848e-01  -1.3472438e-02
   2.5400000e+00   3.7874836e-01  -1.3472440e-02
   2.5500000e+00   3.7874823e-01  -1.3472442e-02
   2.5600000e+00   3.7874811e-01  -1.3472444e-02
   2.5700000e+00   3.7874799e-01  -1.3472445e-02
   2.5800000e+00   3.7874786e-01  -1.3472447e-02
   2.5900000e+00   3.7874774e-01  -1.3472449e-02
   2.6000000e+00   3.7874762e-01  -1.3472451e-02
   2.6100000e+00   3.7874749e-01  -1.3472453e-02
   2.6200000e+00   3.7874737e-01  -1.3472455e-02
   2.6300000e+00   3.7874724e-01  -1.3472456e-02
   2.6400000e+00   3.7874712e-01  -1.3472458e-02
   2.6500000e+00   3.7874700e-01  -1.3472460e-02
   2.6600000e+00   3.7874687e-01  -1.3472462e-02
   2.6700000e+00   3.7874675e-01  -1.3472464e-02
   2.6800000e+00   3.7874662e-01  -1.3472465e-02
   2.6900000e+00   3.7874650e-01  -1.3472467e-02
   2.7000000e+00   3.7874638e-01  -1.3472469e-02
   2.7100000e+00   3.7874625e-01  -1.3472471e-02
   2.7200000e+00   3.7874613e-01  -1.3472473e-02
   2.7300000e+00   3.7874600e-01  -1.3472474e-02
   2.7400000e+00   3.7874588e-01  -1.3472476e-02
   2.7500000e+00   3.7874576e-01  -1.3472478e-02
   2.7600000e+00   3.7874563e-01  -1.3472479e-02
   2.7700000e+00   3.7874551e-01  -1.3472481e-02
   2.7800000e+00   3.7874538e-01  -1.3472483e-02
   2.7900000e+00   3.7874526e-01  -1.3472485e-02
   2.8000000e+00   3.7874514e-01  -1.3472486e-02
   2.8100000e+00   3.7874501e-01  -1.3472488e-02
   2.8200000e+00   3.7874489e-01  -1.3472490e-02
   2.8300000e+00   3.7874476e-01  -1.3472492e-02
   2.8400000e+00   3.7874464e-01  -1.3472493e-02
   2.8500000e+00   3.7874451e-01  -1.3472495e-02
   2.8600000e+00   3.7874439e-01  -1.3472497e-02
   2.8700000e+00   3.7874427e-01  -1.3472499e-02
   2.8800000e+00   3.7874414e-01  -1.3472500e-02
   2.8900000e+00   3.7874402e-01  -1.3472502e-02
   2.9000000e+00   3.7874389e-01  -1.3472504e-02
